2026-06-28 10:00:15 | INFO     | history:get_history:86 | History query: page=1, page_size=10, total=0
2026-06-28 10:00:15 | INFO     | main:on_shutdown:82 | ShopFloorScheduler API shutting down.
2026-06-28 10:00:15 | INFO     | main:on_startup:76 | ShopFloorScheduler API starting up (v1.0.0).
2026-06-28 10:00:15 | INFO     | main:on_startup:77 | Swagger docs available at http://localhost:8000/docs
2026-06-28 10:00:15 | INFO     | history:get_history:86 | History query: page=1, page_size=10, total=0
2026-06-28 10:00:15 | INFO     | main:on_shutdown:82 | ShopFloorScheduler API shutting down.
2026-06-28 10:00:23 | INFO     | main:on_startup:76 | ShopFloorScheduler API starting up (v1.0.0).
2026-06-28 10:00:23 | INFO     | main:on_startup:77 | Swagger docs available at http://localhost:8000/docs
2026-06-28 10:00:23 | INFO     | main:on_shutdown:82 | ShopFloorScheduler API shutting down.
2026-06-28 10:00:23 | INFO     | main:on_startup:76 | ShopFloorScheduler API starting up (v1.0.0).
2026-06-28 10:00:23 | INFO     | main:on_startup:77 | Swagger docs available at http://localhost:8000/docs
2026-06-28 10:00:23 | INFO     | main:on_shutdown:82 | ShopFloorScheduler API shutting down.
2026-06-28 10:00:23 | INFO     | main:on_startup:76 | ShopFloorScheduler API starting up (v1.0.0).
2026-06-28 10:00:23 | INFO     | main:on_startup:77 | Swagger docs available at http://localhost:8000/docs
2026-06-28 10:00:23 | INFO     | main:on_shutdown:82 | ShopFloorScheduler API shutting down.
2026-06-28 10:00:23 | INFO     | main:on_startup:76 | ShopFloorScheduler API starting up (v1.0.0).
2026-06-28 10:00:23 | INFO     | main:on_startup:77 | Swagger docs available at http://localhost:8000/docs
2026-06-28 10:00:23 | INFO     | schedule:upload_and_schedule:305 | File uploaded for task 9bf1867c-bf86-4390-837b-d0b757467f2f. Starting FCFS optimization.
2026-06-28 10:00:23 | INFO     | main:on_shutdown:82 | ShopFloorScheduler API shutting down.
2026-06-28 10:00:23 | INFO     | main:on_startup:76 | ShopFloorScheduler API starting up (v1.0.0).
2026-06-28 10:00:23 | INFO     | main:on_startup:77 | Swagger docs available at http://localhost:8000/docs
2026-06-28 10:00:23 | INFO     | main:on_shutdown:82 | ShopFloorScheduler API shutting down.
2026-06-28 10:00:23 | INFO     | main:on_startup:76 | ShopFloorScheduler API starting up (v1.0.0).
2026-06-28 10:00:23 | INFO     | main:on_startup:77 | Swagger docs available at http://localhost:8000/docs
2026-06-28 10:00:23 | INFO     | main:on_shutdown:82 | ShopFloorScheduler API shutting down.
2026-06-28 10:00:23 | INFO     | main:on_startup:76 | ShopFloorScheduler API starting up (v1.0.0).
2026-06-28 10:00:23 | INFO     | main:on_startup:77 | Swagger docs available at http://localhost:8000/docs
